,tweet
2916445,@anthoulaaa chicken. N Philly steak pie n the kickers \ud83d\udc4c\ud83d\udc4c\ud83d\udc4c
2174117,Morning
730717,Jami is funny af
2321973,yall dudes have no respect for females... and yall females have no respect for ya selves
23494,@_TheRealSonny my boyyyy Sonny .!!!
594146,Females just got a job yesterday talking bout they don't fuck with broke niggas. So what was you doing a week ago??!!
2775410,Goodmorning MGIP
1345589,Tell them that all we had is gone now.
5018649,I hate when ppl interrupt my porn watching tho frfr
4392208,Lol He Eatin Im Finna Leave His Ass Cus I Got A Spare Key To His Car lol \ue011
2247296,She got what? Oh imma still hit tho! #TweetLikeTheOppositeGender
1103903,My son his talking my head off
596354,Morning \ud83c\udf1e\u2b50\u2600\ud83d\udc9b
372822,Oomf's fiiiinnnneeee
279273,@_YOUNG____ \ud83d\ude02\ud83d\ude02\ud83d\ude02 shid watch
2329213,Gotta glo people like to stare
252371,#GhettoWaysToDie twerkinggg\ud83d\ude02
4673565,". they all just keep sayin \""i hear ya yanaa\"" oh. yall ain finna just finna hear me yall finna see me hell ."
4559005,This Cole world is heat doe
4575339,Keia Reads My Mind Lol
2086380,@truly_faded ya baby cool?  Lol
1700982,@iLLWilishh still waiting on u
3874556,Yoo just got off tp with Daunte boy we was dyinggg omfg lmfao
471778,@SaiSai3000 check dm
2916070,@WolfBrandonKTA I get it nigga.. Chill out before I call Osama bid Ladin nigga is my uncle lol.. N no he ain't died
4298641,@BigMattLGI yall bout to let Josh Freeman do work on yall
2663508,@CallmeJahmell lmao who you talking bout willis
872220,Bout to sleep til Sunday morning #tiredd
776274,"ialways see @goodvibes__x3 tweeting all this stuff on twitter, lol.."
1231619,#oomf erky af on my tl . \ud83d\ude12
736486,Dat Will Nevea Change On Life I Ain't Lien.
3107946,Lessie fake
52496,@freshlylandrey riding down i20
635583,@DaniSaysAlot yea he is
3799861,Polo horses on me nigga one man das all i trust
1967322,Damn @ChiefKeef Put The Codeine In The Ciroc \ud83d\ude10
1542446,I DO NOT fw that fake shit! I'll run in a nigga mouth QUICK! Super hot right now
4258064,@TrynaGetMine fareal I got sick this morning and everything\ud83d\ude12\ud83d\ude14
4309389,Ain't me.
1594114,S/o.to my lil bro sillyy ass nicca tho lol @pyrexbuttas
3173998,@loveme_senior13 lol Ikr just let me know when
3640936,@HayyJoyy nuthin homie g
1321776,@Youngthug412 lol im saying it talkin like chief keef
2526970,"Bad bitches, come with worse problems. Loyal females come with trust issues."
3938118,@BeezyTaughtMe33 Go see plies with me tomorrow!!!!
4105760,We just got free chicken
1627968,man...this chick here...
1776039,@beckyenclona dude I back u up at skool
2836833,@TheCondommKing lol get some shit from long love ASAP.
3014674,Took a nap that was A1
2758868,Yo is mad af!!!
1541830,He gone regret the day he lelf me..\ue402\ue402
4205122,Coolin
1067820,@ian_moorhead mmhmm \ud83d\ude0c
533070,Onyx is not living upnto the hype right now smh
2266301,Turn on this meek mill flow
2308435,My real niggas know I'm down for whatever!!
2532019,They always come back to daddy
3122814,My lip gloss is poppin
3540501,She like dat COCAEENA
1501623,@_ChrisBrownWife Ain't nobody scared of you lol
1208495,Feel bad for all yu MF's still in school. It's been summer for real n*gga ..I've been in Europe. Places y'all only dream. Ha night haters. \u270c
2580821,@notjessiknox clap clap clap slap slap slap
2702135,These hoes so thirsty...ain't shit up but my dick and my blood pressure
3763007,@ChaloStaySkinny Wat shop u going to
3971643,Hungry as a mf so about to cook
2627434,I'm looking for the receipts &amp; usher ain't adding up. I look for details. This Chile lied to y'all
981010,@MyOtherBrother6 ik u seen me tweet u yday nigga!!!
981634,"\""@EnnooTribee_: A$ap ENNO in this bitch\"". LMMFAO"
1399750,Speak up
4779888,"He all like dumb ass bitches\"" lol"
4142448,@JERANTISA ain't got time for that man these schedule is crazy
1926265,"If yo coochie ain't hittin on shit, you ain't gotta worry about a text from me ever again llf \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d"
1692084,Turn up.!
54715,"\u201c@ill_wil22: @BootMaGoot right, wtf has he done to make sum1 wanna vote for him anyway.  He dog shit out there\u201d #\ud83d\udc00\ud83d\udca9 more like rat shit"
414570,Damn right I got it.
921672,@MzTaylor_INK I hope you ain't talking about me cause I'm up going to school . But y'all go keep talking on twitter never @'ing me
3444723,"I ain't shit, I swear lol"
1122483,#OKC
540634,Cuzzo what's good @bruce_wayne89 how you been?
433845,Den get n my zone
140593,Rain all day I can't get jiggy with this shit ..
193559,Who wanna come to GE &amp;&amp; work fa me (:
4719663,\ud83d\ude11okay im ready to leave.
3486047,im not chargin my phone til tmrw.. idgaf
1202031,@seaofthedead lol the thirst is real
4594236,I Learn A lot From Da Streets
1136129,Boredd ass hell ://
1157689,"Got her screaming moaning hittin it from the back, got her home girls like \""girl he did that!\"""
3303990,U funny man @WheresMy_SPLIFF
3611196,Im hungry
3217411,I ain't been on this hoe strong Im a while...
33710,"Stayin home tomorrow, he'll yea baby fuck school"
4931424,@dani_nicole_17 damn straight
2655234,Nigga tlkn big head... For such lil game'
1528480,#ThoughtsDuringSex damn should I offer her some orange juice lol
4484621,"\""@JustDevon_: Cold asf outside\"""
4933369,\u201c@DaeDae8808: @blonde_mason wya now freak\u201dbout to go home
3744529,@mariahroolz damn hmu with a dm \ud83d\ude09
776341,I still gotta make scasha hers.
1948964,Bae \ud83d\ude0d
3748349,@TooSwoleAnthony smh
4102342,I'm finna chilllll
5021369,Yooooooouuuung nigga
3354971,@iceeyjays where do u live?
2059735,"Back rub from my main thang I been stressed out. Talkin to her like back then they didn't want me, I'm blessed now."
94545,GoodMorning Twitter Folk....
3313286,Bc ima hit him nd run \ud83d\ude02\ud83d\ude02
3711576,Bitches be mad cs IDGAF about their lies
1618911,My second family is Brittany Sidney Red n Kt lol been with these mfs for too long. \ud83d\ude18
1698791,We Winnin. @1future that's yo best song bra
3368872,I'm finna be famous bitch.
4163262,@HannahMeacham1 I ain't
1790197,keep them dollaaas coming and thats gonn make me dance\ud83d\ude1c
1739342,Nigga phone stay fucking dead that shit pmo
625705,@HeatherrGarcia_ this bitch is lieing tho . Saying she was with him wen he lives with me !! He dont have time to cheat lol .
36727,Valentina has a stank attitude
1091410,Lil scrappy did let shay no what's up . I fucks with Erica though .
482600,"# RIP SHOWTYME , it ain the same nomore we miss and love you bby @Mr_Fly_FlAshY #dailytweet"
3601252,@missnidda IM baccckkkkkkk
2355269,@kHy_nd_sKii_mOm she was ready to tell Tara that shyt lol
392752,My mama really get on my fuckin nerves!
159800,"Got damn, that's an ugly ass bitch."
4197230,If You Dont Fight For Wht You Wnt Dont Cry For Wht You Lost
2087113,Bitch
4414766,\u201c@JbCashing_: fufu ass niggas\u201d
1618217,What it be bitch mob task force lil b
2227959,Tuscaloosa here we come
1570336,"@ILOVE_MATTHEW laying down , tried .!! Wbuu"
2638658,Bout to get some el rancho!!! Fuck yeah!!!
2520491,3rd block again &amp; i'm sleepy af \ue40e\ue13c\ue421
3656391,@machinegunkelly ur bae &gt;&gt;
3522262,@gennyyyy_ what are u talkin bout..\ud83d\ude15
5010939,oomf \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude4a
1719937,Gettin tired as hellllll
4524167,Her big brother mad cause he know she got hit by the homies \ud83d\ude02
1790827,These chumps ain't even got chump change
4420979,Aye man it's bday weekend homecoming game weekend and homecoming dance week end lol turn up man turn up
4949039,Soft af right now
3686238,We ain't got no worries
4236019,i wanna move outta roxboro.
2277009,@SashaLyapman ok shawty remind me in the morning
2658849,me &amp; oomf gotta get back to how we was \ud83d\ude14
1807287,I don't want to see no Mexican shit on my TL smh
4483173,@12inchesbelo 's Avi &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
270361,"Me ! \""@brandihopson21: But , who gone beat my assss ?\"""
4874200,@Cacia_Murdersz yeaa i did lol
4895709,Currently Vibing
3042401,Let me do these initials.
96664,Team work make the dream work all my niggas den seen work...
934611,@Mzqueenshanell @_aliboo yes slow ass girl
65233,@NoComparison_x3 yep. I kno why \ud83d\ude12
1573088,\u201c@blvckm1go: Lightskin the rightskin.\u201d \ud83d\ude02 Tell Em.
2774003,Lmao Willneija Tweetin Off My Page !!!
3801958,Woke up dis morning an I thought to myself dese Pussy niggas don't want it
1202918,Bet if the Knicks was winnin my TL would be flooded now y'all niggas wanna talk about the waether n shit
803305,@JesusInBlack lol iight bet watch yo bck
1891503,I had my Popeyes fill bruh off tha chain @KeyonKeepItG
2783664,I ain't got no fuckin feelings
573667,Bored
2695087,Tired man
2699106,So u were tweetin bout me?
3133106,Lies ... Liessss \ud83d\udeab ion wanna hear it.
2704873,It's sad that all these young ppl in Cleveland keep die'n .
119198,I be bored quick
3628972,Shayla is a big hoe
389169,So when did bein ratchet make any female more attractive!? #QTNA \ud83d\udc4e\ud83d\ude33\ud83d\udca3\ud83d\udd2b
555555,@CarliciousTie lmaooo np keep doin what ur doin \ud83d\udc4d
3718840,#BullsNation \u2764
4373705,Who Tashyla Talking Bout ? \ud83d\ude02\ud83d\ude4a
2182529,\u201c@liitooo_: Eatin ass ain't a crime either. I'm jus sayin\u201d \ud83d\ude34
2953089,@_Lyri_ Bet. Ima DM my #
2205484,Feel lgke shif
1321029,Thinking about rolling up
2526527,Make yo body jerk.
3859491,Nvm Asia not lying I believe her.
4033650,"\u201c@Kb__x0: Yall get together, give yall crew a name, and now yall wanna be designers? Lmao OH.\u201d \ud83d\ude02\ud83d\ude02\ud83d\ude02 #NL"
581302,@BenRedden hey u goin any where for breakfast tomorrow?
2096525,"Nigga said \""on a scale 1-pretzel how salty are you\"" lmao bars!"
1930649,@PrincessJennyxo lol foreal
145594,Loyalty is everything.
4784975,weak at lexis
3900308,@XxoMomo -___- where u at?
3442558,Niggas acting like hoes you boys some bitches!
2540370,Ain't nothing wrong with a righteous man
4246100,@thomascline101 @valbabesss @LovelyyMo yur dam right lol
4305850,I got cash !!
4484856,But my old bitch still got it
148920,@RayNavy_ yea sometimes lol
3233667,@ActionMJackson Harold's
2278463,Zowee get on my fuckin nerves
4414489,Got my stomach flippin.....
375698,I pray I don't get locked upp mannnnn!!
3595037,@__Trendsetta lol I wouldn't tweet that lil nasty ah
1390711,@CSausaman what up pussss. get off my couch. lol \ud83c\udf7b\ud83c\udf7a
1139041,"Nobody is textin me back -,-"
2694846,"Tf You Lien For , ?"
1045141,iman was just fouled on the layup but thay called that bs foul on the other end...these refs are awful!!!
870777,@iThatPrettyMFer where y'all hoop at? You know a spot?
425897,Wats good muthafuckas
2586816,@GETMONEYFRANK Lol Oh lawd I hope she ready for it
2947904,Watching Barbershop 2: Back in Business
4967041,@KierraaaRose where tf have you been.\nCalled yo momma lookin for your ass.. She don't even know lmao.\n\nMissin da sis
3849419,Gonna b a long ass night #WorkFlow
25413,@JstGotMyGroov @Shootit23 exactly what we gone do and ain't nobody hating on y'all
3455989,@_varitooo @Odalis_Bitchh yea !
4091036,\u201c@Brian_JetLife: Kats is straight bums\u201d MANNNN you ain't never lie'n
2145447,We need bitches ASAP!!!!
4994223,@MiCousin good lookin !
239198,@corradokid92 ur a chump what's my name? Skip?
3730841,"\u201c@GhettoLebron: I'm LeBron James from Akron, Ohio! I ain't got no worries! #GhettoLeBron\u201d this twitter sucks"
4718419,Bitches be trippin
2467293,Can't trust em
3045393,@Atlanta_We_JuuG chilling wbu
3972288,@AL_Paccin0 But I Was Talkin About Yours... \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02
2015927,Yahhhhhh! Lil D!
1032639,"&amp; he ill, he real. He might gotta deal. He pop bottles &amp; he that right kinda bill. He cold, he dope. He might sell coke. \ud83c\udfb6"
4385708,@ibarkman31 gotta get u up here man
2533595,These girls on #BeyondScaredScared funny af
4832493,@Jonathan_ToBurr aight I got a new number though
1407307,"@everydayz_420 \ud83d\ude02\ud83d\ude02, Youu Thinkk Soo \ud83d\ude0f"
2759395,@britttgriffith @NoThisIsPatric dont tlk to him like tht u piece of shit. It's not our fault u make 50 grand a year
2824513,HOW BOUT THAT THROW!
5052620,"I take a niggas woman,  have her with me getting blunted, but she gotta be about business cause I hate the ones who stuntin-lil snupe"
2436594,@Dre_Steeze crew nigga
3035904,I bet if he gave you a STD that shit counted.
2684252,\u201c@erzzielovesyou: ctfu right wen I thought we was good ...... Sumen wanna pop up...\u201d
1855136,Who wann tweet for me? Anybody!
2704598,Takinq Myy hair down
4860028,@TveeStun u ain't slick
3133233,@NCfor_3 comee
128884,Ion even like him
777936,Ill prolly still fucks wit it so I can come fast out da gates
1625985,@aubreylobban12 awww Aubrey luhh yuu \ud83d\ude0d
2232941,U
2853952,Folks talking bout the class of 2014. Lol
309527,#TheSisterhood
1613333,Only real niggas play black ops 2.. And good at it.
4458939,"\""@Spaced_Dreams: \ud83d\ude48 turn up Thursday?!\"""
1694409,Try and find another me girl good luck wit day shit #weezy
2243398,\u201c@VH1PNUT: NIGGAS DONT GOT NO IRON SO THEY JUST THROW THEY CLOTHES IN THE DRYER TO GET THE WRINKLES OUT\u201d exactly what I do
3317228,#bitchesbelike blah blah blah
3084568,@Lifeless_Alex u goin to school Tommorrow!?
5037465,GOODMORNING &amp; Thank God For Allowing Me To See Another Day
3464401,she said she got hair like tha girl from color purple \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 I'm dead
2863220,Girls only fuck with dudes they know from back home. Then gone say all niggas the same. Wtf im from milwaukee. How you know lol
1572393,@_PinkyPromise__ damn it!
3782670,Levels to this shit young boi
506410,There is no social consequence to a man fckin a lot of women get over (@MalahBOOYOW) Right...who go feel awkward bout getting some pussy #so
3556050,@Based_shit good thinking bruh
2240178,Goodnight/Morning \ud83c\udf0d
5078461,"Nigga b like \""Bro let me borrow yo robin jeans and gammas for this video shoot tomorrow!! They ain't clean!! Oh it don't matter!!!"
2450032,@JamieeDragon damn
2635129,niggas be on their period too lol
937535,Yuuh can't love these hoes
1111448,Thanking God for another day! \ud83d\ude4f\ud83d\ude4c
4539435,@Ayo_Mclovin @V_IX_MCMXCIV @_simyyy @imaaani__ @elYOUcwhy dat cellulite tho
4002844,I woke up to jayden just talking away in his crib
3579664,Whatever hoe
1441065,@MyyyNiggaStix Kobe gone drop 100
3127996,"Iown feel good , &amp;&amp; today just ain't been my day ."
2869455,@Georgeeeuuhh ima beat yo ass
1375084,@Qua__LSue lmao shidd crazy
4966126,"Gotta couples bad Hoes that I Fuck around with, but it's one bad bxtch you can't see !"
1709544,I met ah bad bih name Nessa in tropic\n&amp;&amp; her pussy was the topic @biig_berna
2991648,Shoulda done this shit jr year!
1066590,Trippin
4265183,I see ya face and I kno you sad.. Smh tried to tell you
405056,Cus its crazy in here crazy in here crazy in here
1599419,Buhh I'm still happy
3423157,@FuckingAffectz_ chillinnn hooping playingg 2k12 and munchinhg
1498710,@Jrmabin his is ite
529230,She a thot too
566695,Fugazeeeeeee niggas &lt;
4484058,@NubiannaH Oh Dang Bookie
5083808,My MAIN focus is to REMAIN focused \ud83d\ude4c
4602952,Oomf Jus made My Night ! a Nigga Goood To Go Now
2318087,FOH
2316187,@Believe_in_Bald damn they will be gone fast
2428829,@BPerrionna fine ass lol.
52841,I wanna go to Amsterdam just to smoke in the Resturant lbs
2067027,"\""Twilight*Bella moves to new town*\nEdward: I &lt;3 u Bella\nJacob: lmao go sparkle u pussy shes mine\nBella: stfu vampires r sexy ur friendzoned\"""
1948259,Need my money pronto.  Get it in the morning like Alonzo.  Green got cheese like a nacho.  Yen' got no as bitch wear a poncho.
3908675,Steady pattin' my weave
231757,Nigga Iam lost in hooters lol
1178586,@aprillela Tell Em B.
4731436,@VA_Coolin ite
2690545,I swear I think this lady crazy FORREAL
443316,These streets aint friendly so why put yourself in a fucked up position?
1269268,@xObeyNisha im listening to nobody now
5049589,@_Tassss_ fb
4533726,damn.. these thots gettin bold..
845526,Bored as shit
2526339,I ain't doin dat math shit tonight fuck it
3403641,@kiDD_Sheedy Deadass bruh .. Like niggas be dumb .. That shit is a 12 Billion Dollar organization .. You think they aint bout they money ??
2082638,@coon_will sounds like imma be laughing my ass off
1876538,Bidness is Bidness
4248290,@aarontheguru bout it
877433,@_GoHAM_ wat time
1407310,These Niggas Dont Know Whats real Or Loyalty Is. \ud83d\udcaf
4182351,Bitch u nd ur kids if u have sum can play in traffic
2230247,@MarieGaumont I'm not \ud83d\udca9 hush
4749628,So many Kobe haters and Lebron dicksuckers \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 #LakersNation all day! SHUT YO FACE!
1925439,; maneeee bae going to sleep i think i pissed him off let him NVM NVM !
3712595,CREAM get tha moneyyy
2931536,Lele should be picking me up tomorrow but she ain't respond :'(
4842162,"\u201c@amberraeoster: fuck this beat, nigga lets smoke weed\ud83d\ude1a\ud83d\udca8\ud83c\udf41\u201d\ud83d\ude2d\ud83d\ude29"
3505561,Lean gt me moving in slow motion!
2431852,Wtf was miley thinking when she lit up that J on stage when she won #BestVideo
2971136,Umph ! Hell I got a damn test tommar ! AINT GOT TYNE FA THAT SHIT !
4378397,\u201c@PrettyBxtch_Tay: Why TF this Girl sitting Back here Breathing LIKE A FAT ASS PIG.....\u201d\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02
4669042,@adaleihnicole if ican get some mula I got you!!! \ud83d\ude01\ud83d\udc4d
3566360,Lol you know wassup when he got two phones
842367,The main bitches who be talking bout they ain't got friends call everybody they friend
3831534,@skyler_gibbs spoke
1005784,ima still be passn out flowers to mothers all day
3887192,I'm ready for some football!! #GeauxSaints #WhoDat
743830,S/O to ma new nigga
4971767,That's y I hate ordering shit ! Neva b on time \ud83d\ude1e
381177,#IGottaThingFor girls that know what they doin
188520,"\""@PrinceIgnorance: U wanna prove u really care about MLK day today? March to the club tonight\"" lol"
3746686,Actin like dey want me bt dey really wanna gimme sum
3605224,"Motorola,\ud83d\udcf1in the kitchen whippin Sonya"
619109,Goodmornin \ud83d\udc4b\ud83d\udc4b
96122,I'm weak lol
3030101,Mama Dee on some bs let yo son be happy !
2826151,\u201c@ratchetreynolds: #RappersThatHaveGoneMissing   Lil Kay Kay\u201d that's my main bitch!!
4499510,Phuck yo team where the freaks at
3609417,don't trust no bitch you ion pose to!
3439171,"If u were tripping on me, you'd be callin me up. So yea peace. Lol"
527534,Lol ion like him
5064957,@_VitaminBeeee eat shit
2916308,Got em goin dum on a hyphy frenzy
4738165,@Elnumero_tres @ChrisMacTheRula lol they gone get in free
1494830,I couldn't deal with a nigga that look like he on drugssss \ud83d\ude33\ud83d\ude33
4986970,@_Kresss too late ! \ud83d\ude0e you know it ain't none but love folk .
184091,@NoMames_Jeezus nawh I moved on from my punk rock stage. Lol
4308919,I swear that nigga Rose was still puttin in work &amp; Idgaf if lebron from Ohio . Rose that nigga
2663444,Rap ain't got shit on country music
3808790,Sheeiii ain't worried bout nun!
3138562,@_preddipothead Chilling been up since 23O I was bakedd earlier hbu ?
5024964,@Daddy__Ari u gotta be careful bro
2425468,@baay_bee01 @penabema love y'all too \ud83d\ude18\u2764\ufe0f
2693268,@SmashOnSitee lol im getting my chain tomorrow
636649,I'm just tryna get on my own
3116597,@SwindleGod yea I feel it gotta make that $$$
936318,She was from the marvin gaye days she wanted me to dust them cobwebs off
1011864,@CallMe_LilTunch dats cute to dad im just ready to turn up
3114239,I dont see her on twitter..usually this be her home
3247014,Big fukn defense rite now... That's how the number 1 teAm plays
2311376,"LIKE \""Yo Glen u gettn soft on me?\"" Nah kha u I knoe I keep dat horse on me"
192398,"\""@jhusSlim1OO: Somebody DM Me, I'm Sooo Boreddd :/\""our bored asses"
4631066,How you get mad cause im texting but u on the phone funny.
4516923,My mama agg\ud83d\ude02\ud83d\ude29
5081372,Ain't worried about nothing!
1202860,Then they be eating good af
4289846,Wat CAU lookinG.
1680635,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\u201c@ImStill_Joshn: \u201c@Anotha_pair_AV: @OG_Tt let me get sum pancakes and three turkey links wit dat avi bra lol\u201d [ahhhhhhh \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02]\u201d
3429011,That's my Bae
3647000,I'm really tired of seeing these tweets about omari johnson...like just stfu thats all i see on my tl
3955541,Nap time tho
2984306,@Flann09 what's goin on there killer!?
4149692,@Malon_Hodges ight
5081999,@AaronJerksOff then I'm not cooking foh
2778536,; tryna wait on jazmin but im gettin sleepy .
4220523,She ain't my girl
605599,@mad_Montana @deedowdy there y'all go stacking lol
1647763,@jadinkha @Ginahermz HUH MAJOR DICKSUCK
2893444,I'm smellin rather fruityyy
5029688,We gon miss yu aunt bobby
129368,@Sh3P_ did yu get that new a$ap?
3379599,@BrianneShanks ya me to i had to change my name its Amber torkilson :-)
4353131,@_Bammsworld yurp bruh. but thursday we having a liq war !!!
2864383,It's my bday so I'm finna turn up
2569258,@shelbywatkins10 call me call me call me.
1171359,FB FOOL
2072453,"Thas why I hate these average faced/bodied broads even more. They take'n up all the fuck'n winners.... while we stuck w/ ugly, fat or broke."
4912931,Im out dis bitch!!!
1573951,Marble Loaf Cake &gt;&gt;&gt;&gt;&gt;&gt;
3763314,Everyone needa vent god damn maybe i needa vent too lls .
1823524,She in denial hard \ud83d\ude02\ud83d\ude29 #catfish
2708132,Sumbody plz bluetooth me a crankin ass ringtone
4442686,Everybody was happy asf when my coach put me in \ud83d\ude29\ud83d\ude02
119437,We poppin bottles. She poppin pills. She gettin thrills.
1771212,This girl @xInfamousV__ be thinking she funny lol
5083684,I'm sick of phony niggas
54656,havn daa flu &amp; bein pregnant is not wat it is
4833596,Nigga  don't knOw when she talking to him
2380970,Everybody wanna fuck w Bri today
545143,@Richy_Al28 wish I nigga would like a kitchen cabinet. I would beat em down. Lol
2723050,@2KINGJOHN I smacked you in 2k
1362338,I ain't answering
1036762,With cho pahrched ass
3775107,@_dyonna DM your # real quick I gotta ask you sumn
1395557,"All my bitches bad, I'm not T.I."
4392361,Trynna catfish me or some gay shit
2450528,@IGGYAZALEA cant rap but damn u look good lml
4935775,Off 4hrs of sleep and now to play football wit da homies
770686,Goodmorning (:
904750,Smdh
4242429,cooLin
4774292,These niggas dying
280643,Goodafternoon Monday.....I knw everybody wana go bac 2 sleep lol
265688,@JesusCantu23 lmfao it cracks me up that u do it with me.I heard u was sick nikka Hope u feelin better I was gonna bring u some soup&amp;blunts
3230255,Ctfuuu Tho
580728,She rather cash ha check den be in some drama.
3816857,@mckinleyfreeman morning hun
1710070,Somebody text me! Im bored
241954,@Zero_Fuksgivin same ol sht diff day..wat yall got goin on in dha side dha day..
4067027,"He prolly got his mouth wide open right now , snoring , drooling and everything . Ctfu"
3648278,mama nettie told diamond she aint goin no where unless she massage her back \ue412
