,tweet
8875655,@bee_lindy are you really riding a bike all the way over?
8214676,You walk right by crashing my high like I know you will you little buzzkill baby your a buzzkill
9342500,I've been on an emotional roller coaster all day. \ud83d\ude14
11346056,on a scale from 1 to chris brown....how mad do you think zakk would be if I peed through the floor hole in the ice castle hahahaha
145740,My chemistry professor continues to misspell words in our lecture notes. Aren't you supposed to be brilliant? #comeonnow #really \ud83d\udd2c\ud83d\udd2d\ud83d\udd0d\ud83d\udca1
11475583,@Phill_T_Rich greatest college game ever \ud83d\udc4c
4537286,\u201c@THEtylerpurcell: Cards go to 3-0 and win the governors cup! #BeatKentucky\u201d that's so yesterday.
862708,If I would have known I had an appointment today I would have slept in
3889386,John Mayer + Mumford and Sons makes me feel like I'm back home #homesick
6750840,Bed bed bed :)
9247330,"What we going through may not be good to us, but is good for us.. Cause God is building us for greater responsibilities, greater blessings"
11447572,"So tell me are you missing me,Or am I absent like a Jewish family's Christmas tree"
654827,Just spent three hours In the gym. only got half of my stuff done. can't wait for the new years crew to get tired and quit.
3641111,You deserve so much better than me.
5722980,@_tesssie_ definitely the bro tank and ankle socks \ud83d\ude4c
8911880,Why do you choose to sink your teeth into my arm everyday..?? Why. ..This is the 4th time and counting.. #14yrolds
4694856,Been home ten minutes and I already wanna be back at AC
1851800,@psychmichael I am in class without service I can just meet u at ur place
4605004,wishing I went to First Friday Mass tonighttt. \u2764
2032914,THE WORST FIRST WORLD PAIN IS WHEN HAHA GETS AUTOCORRECTED TO GAGA
209116,I'm glad all this medicine is working #justkidding #theyarent
10142220,I live florida now guys
3314748,@mfaulkner95 what are you and Almond doing tonight ?
3500557,I think everyone needs a visit from Dr. V sometime in their life #RHONJ
3860899,Hope Tennessee whoops Florida
10551069,Also I'm really good at randomly yelling in the background
8142738,I Need To Go To The Library
6071543,This energy booster smoothie got me more riled up than usual \ud83d\ude01\ud83d\ude04
4014167,\u201c@MarcelaDMW: @OshanaPaul I like food in general.  Lol\u201d I agree nothing from the ocean tho. \u270c
10923797,@stampylongnose you are the Awesomes Cools Cat I have ever seen.I watched all u minecraft videos your amazing
4993178,Seriously can't understand how some one can be such a bitch and a asshole.
162507,I wish this passat would stop slamming on their brakes.
6676855,How people just forget about you after youve given up possibly everything for them. #Whatever
5694503,LET'S GOOOO! That was incredible. #Chiefs
2814736,I'm thinking mid travel with cantilever suspension in the rear hmmmm
4694288,I'm always jealous of the other side of 95 as they fly by me while I'm just sitting here in park \u2754
1106594,"\u201c@_Burnetts: Groceries are expensive, have Burnett's for dinner\u201d no, pot.. you need your greens \u261d\ud83c\udf33\ud83c\udf3f"
9960925,Hat tilted mind lifted
7309231,Possible bomb threat at Kickapoo? If anyone knows more information let me know!
4269839,That QB from ohio state killed it today.
8686936,Today at the pool I told Luke to get my phone and he came over and threw it right in and it sank lolol\nGood thing I have a waterproof case \ud83d\udc4c
11643037,If I have to wrap one more Christmas present.......
5444462,Skills include being annoying and eating a family sized bag of chips in less than a day
7080338,Sweet Friday tomorrow get this week over with
4560859,"Marlins won, no hitter game, and got to see my favorite heat player @ShaneBattier. BEST DAY EVER!!!!' #marlins #bestdayever"
118293,Bike racing in scheels... #gay
2256172,OMG this ep of #CriminalMinds is freaking me the hell out!! Love this show! @shemarmoore
11065308,@kappley Lions will be winning then fuck it up at the last minute.
925760,Great minds think alike
4030160,My first post was solely dedicated to how much I love Apollo \ud83d\udc9c my teachers gonna judge me..
5323519,@imjoshinyabro @Bungvary better than the 12 saves you have this year
11142381,@bryana_torres I work at 5 so anytime before
3132219,#TeamNoSleep
8740960,@laurenmichaels watching price is right did you actually keep the car you won?
6089750,Aaron craft body checks/fouls every other defensive series....he got away with a flagrant foul on glen rob 3 so no..I don't feel bad for him
10256375,Its not often I take a nap... But this tired + this weather may make 2day the day #tired
2098458,One of the biggest gifts my mom has ever given me is a chance to have sisters &amp; a dad.
2878049,Pirate fashion sense has really changed over the years.
3627536,@knee_coall_ well maybe you should do something fun like buy a Platypus
10812289,I feel like I've been driving from LC for hours
9898285,This iOS 7 has my battery life always low!
11598117,@WilliamCGreen Do whaaaa?? That is clean! Definitely signing up. I'd rock that all season at work haha #liftops
8419533,When I have off and I get yelled at by @Big_Will_17 to stop worrying about work
5872572,watching old people dance at a wedding is an american pastime
10856445,Anyone counting down to machane shachbag?
7957319,Summerfest @JakubKoba  @AirCanada17 lets go!
9233231,I love the smell of my hair after the hairdressers \ud83d\ude0d\ud83d\udc87
7298290,I would be such good friends with George Orwell....
6119801,I'm still stuck in the moment with youuuu \ud83d\udc9c
9321974,In a sea of people my eyes will always search for you \ud83d\udc99
5659902,@lovethatmonk yes I think tech deliberately messes with us some times. For more I've switched out the mouse.
6768672,@mirandab13 what seriously?! Instead we got three timed #sadtweet
6660624,@omgitskristenn Your so lazy #NotGood
10148383,Fun night with some great friends \ud83d\udc95 #blessed
7664313,I don't think I've ever been this tired from track before
5610293,"@Bcatron44 lone bright spots, young and poythress on offense, cant stop their guy on d."
10598826,"\""Afraid of too much twerking and not enough working?!\"" Baha! This was a line from a radio commercial about a car dealership."
4158254,Madi buy me something
3159699,Glad I'm not one of those people who's in drama every day of their lives aka underclassmen girls
3653408,I feel like the whole world is moving to Richmond. Maybe I'll actually stay there this semester instead of coming home every weekend
1414674,Going to sleep angry #ohwell
11981856,@ZubkaDevon you don't bleed for a week straight and squeeze a human being out of soemthig the size of a lemon. Girls need more credit. \ud83d\ude02
6498572,New outlook on life after this weekend
9024972,"I've been awake for an hour but on the brighter side, I have a 10:10 flight to OKLAHOMA!! So excited to finally be home!"
8696549,Just  chillin at nebraska wesleyan. Hah
11792565,Break went by way too fast but at least I'll be back in a couple weeks
638961,That was from miss congeniality fyi
7859505,"Who wakes up and thinks \""I wanna walk across the Grand Canyon..in the air\"""
7323500,Why is there such thing as cancer
585417,My new years is going GREAT ! Only thing that would make it perfect is if @FlizzyFlo were with me ! But I know he will be soon ;)
4959369,"Mom: \""Your aunt wanted a picture of you, so I sent her this one\"" Mom, I'm hammered in that #LOL"
10650897,I hate not knowing ANYTHING in AP Chem
8742939,I took a selfie I actually liked the other day \nI know it was strange for me too
1845851,"@LVLV808 you have the coolest tweets man, write a book with me."
7344417,dylan just left. i couldn't ask for a better boyfriend or a more perfect weekend.
6577711,Awkward text messages. \ud83d\ude05 #wut
286856,"Today my lifelong favorite football team is playing for the National Championship. Win or lose, this season has been amazing. #goirish"
11064589,When Haley tweets lyrics I'm like lawd\u270btake a seat
10772623,It's a Ben Harper kinda night\u2764\ufe0f\ud83c\udfa7
1271776,Great night!
3247128,@amanda_allgaier @jaclynallgaier Jenna's so excited\ud83d\ude0d
2635313,It's all fun and games until someone gets slapped by a chair!
2738107,@Leisha_Hailey Have that same photo with mom and myself taken in 1980!  Wish I could load it up
10876695,most of these tweets about uc are just a bunch a rich kids making fun of uc kids for apparently being poor #realclassyguys
2319036,Scared of a bunch of aqua? Then get out the rain. Order a raper for lunch and spit out the chain.
4651652,They're playing shakira in stillings #thatswhatsup
2548604,"If these sheets were the states, and you were miles awaaaaay, I'd fold them end over end to bring you closer to meeee,\n\nFuck, \n\nthis song.\u2764"
5116406,101- your probably the funniest dude I know. We need to hang more bro! Hmu
11602452,Highlight of my day: getting a title in the math topic of quiz up
2046343,Night:) #loveyouall
687525,Writing back letters to loved ones who have written to me. That's real
11065,@JeffGordonWeb @BarrettOnSPEED @DuPont_News @TeamChevy @Drive2EndHunger great job @JeffGordonWeb out all about giving and out not #Christmas
285521,less than two minutes and make $20.. do that 30 times a day.im just sayen think about it. who u know makes money like that.
11824970,3 of my friends lost a loved one this week and no one even cared..
7535646,That animal abuse poster in our school needs to go
2323712,"I don't think I'd be so upset about my grades if I knew that was the best I could do, but I know it wasn't \ud83d\ude14"
12335582,Saying other teams are bad won't make yours better \u00af\\_(\u30c4)_/\u00af
1222278,@DougBenson = bitch \u201c@suckmeter: It would have sucked if I said Regan wasn't funny. He's terrible on Twitter. Be funny. You're a comedian.\u201d
6316082,"Hey you guys, around 8:00 CT or 9:00 ET a bunch of us are meetin on twitter to help save leverage @Leverageluver21 @LadyLeverage @JaSaMorgan"
4320682,Luke Bryan and colts game #perfectsunday
9730200,If Huell were played by Rick Ross this would truly be the greatest show of all time. #BreakingBad
5376935,There's an emptiness inside her\nAnd she'd do anything to fill it in
4465840,"@FootballXPs I could see Lacy running over the Redskins, but the bad weather up there could slow him down today"
9322809,@mschifnet you are a goddess. Lead me in your awesome ways. #PraiseMsChif
4104088,"To the person's frappuccino I accidentally took, I'm sorry \ud83d\ude31"
7809861,@caitlinohno what why were you on my campus #Gross \ud83d\ude1c
12053609,Liars are so transparent
10902577,It's nights like this when you realize how shitty the valley is
11758494,when the time is right i will absolutely fuck with the first act custom shop. damn.
10540593,@moisttttt a home is a place where someone always thinks of you
3144489,\u201c@Lucas_DanielM: #QuestionIAskMySelf is eating an entire tray of brownies acceptable? *does it anyway*\u201d my daily struggle
2744790,"On a Wednesday at a caf\u00e9, I watched it begin again\ue32e"
1426438,"I really wish we could just date, honestly.."
5559590,I don't think I've ever let the bad elements in life get to me. But now they're too overflowing to ignore.
6883079,"\u201c@jenn_jersey13: once this CNA class is paid for, next thing being saved up for is a vacation to Cali in July \ud83d\ude18\ud83d\ude01\u201d I wanna goooo!"
3150874,Surprised you're still dealing with his crap #getoutwhileyoucan
5350732,"Can i sit here? Yeah, just don't touch me.........@rhallett21 @Rhiannon_1011 #whut"
1181192,@13mklein I kinda am! And if I do I for sure will! #justforyou
2071828,"The guy that invented \""pong\"" also invented freaking medical equipment because they both have the same \""beep\""!!!"
10012733,#LetsGoLions! Good Drive so far
4525695,@DJ_Pearl_Gang bet I'm be up there in the spring I'm going to middle tenn
8342063,"more then anything I want to see you, girl \ntake a glorious bite out of the whole world"
9940044,@roserunsdaworld yeah now onto Ravenswood
2364163,It's national hump day guys. That explains alot..
2863631,A perfect relaxing day to end this crazy weekend.                                                   #MuchNeeded
7387140,Shout out to MHS class of 2012. My niggas.
8728271,@BroadwayBoundMe this is what my nights usually consist of. Trying to make Lucy and Ian Harding to notice me. So shut up. Hahaha
405897,Hittin' the road for Ohio &amp; the new bar @maureenelsberry has prepped for us
9463505,Brb stabbing needles in my eyes
8006055,"Realizing I put with, instead of wish"
609772,@gemsie so sad. heading there on wed! Let's hang when i'm back in nyc!
12366393,@BusbyJoslyn the struggle of being single! haha
10683019,Can someone DM me their HOA online textbook login? I left my login paper at school \ud83d\ude2d\ud83d\ude29
12413434,@eeeemoney good luck girl! \ud83d\ude0a\ud83d\udc4d
6860907,@grav3yardgirl should totally come to Austin for a meet and greet I would love to meet her.
5701533,Holidays just aren't the same the older you get...
6970129,"@klusterfuck621 Whiskey sampling?! I need go watch that documentary. The vodka is alllll you, babe! \ud83d\ude18"
10782544,Love my boy more than anything in the world
5920537,"@RMDC_feed #mhsaa #XCState2013  good luck to @Liam1C , Liam Cardenas and Plymouth HS Wildcats at the 2013 Cross-country State meet at MIS."
8090225,I love summer nights
6964922,Jesus Christ I have a headache.
6405564,"Ahhh this sounds BOMB!\"" @PeaceLove_Nikki: Edamame and a big glass of coke on ice. #PERF #FinallyHomefromSchool\"""
11093141,"@MastaDCrowley behind the snow clouds, at the liquor store... \ud83c\udf79\ud83d\ude2c"
5675030,So I wake up and my nose ring is gone.... Someone skip school and go to Champaign with me today! \ud83d\ude29\ud83d\ude4f
7149727,Westboro Baptist's are just a bunch of hate-mongers. Outrageous. How dare you call you call yourselves Christians. Love one another.
929794,@sweetcheripie I'm excited and also scared that I'm going to fall on my face or hiney!
10114616,I'd pay someone to bring me a blizzard lol
650945,@NicoleNyznyk hardcore yo!\n#gripitandripit
4674488,I can have a life now that this exam is over.
244482,"If people were more like dogs, the world would be a better place."
6487770,@mceverett222 like win an nba 2k13 championship
12380760,I can't wait to dress my kids and do their hair and make them the cutest children alive. #babyhungry
9360971,Such an asshole I am \ud83d\ude08\ud83d\ude08\ud83d\ude08\ud83d\ude08\ud83d\ude01\ud83d\ude01\ud83d\ude01\ud83d\ude01
11487415,@CSNHouston No. He's terrible. -A Bucs fan
11495548,Can't forget Rowdy Rough #SQUAD
2218170,Listening to auditory hallucinations that a person with schizophrenia experiences. Holy shit. Oh my god the voices. #crazy
4776900,"Louise, it's actually day 7...."
2094231,That's some cray thunder and lightning \u26a1\u2614
1592708,People who open Snapchats but don't Snapchat back.........
1296857,"Instead of letting the kid play, #sabres save a roster spot for a washed up Hecht. Amazing! @WGR550 And their in 14th place why? #losing"
2798512,no subs it was never as serious as the sight simply difference of opinions
5973647,Lol at me I couldn't hang it was too cold. So I changed from my cat suit into a coat #smh #alwayscold
9759964,"If I ever won the reading from Theresa...which I know I won't, I would seriously cry my eyes out!\ud83d\ude33\ud83d\ude02 #LongIslandMedium"
6930798,I kinda like being in bed all day! If I was able to Do it everyday sure but I can't
10564378,He offered us a tank of gas and we didn't except it and he said hope something good happens to you\ud83d\ude0a
2896013,I hate everyone that has the day off today
4267580,\u201c@Alliee_XOXO_: Duck dynasty day... #Heckyeah #Bestday\u201d no new episode today. Will return next week I reckon
2854090,@wutz_up_dave uhm the amtrak station is down town but I would ride this mexican bus line
7344474,School is just a prison so kids don't overburden the workforce
4735965,OUR SONG WILL BE ON YOUTUBE IN LIKE AN HOUR OR SO. ILL POST THE LINK AS SOON AS I CAN.
6518805,Best day I've ever had and just happens to be on hockey day in America #minnesota #calclutterbuck
1837218,@emmadanielle14 just called me to make sure I have coffee before I meet her for coffee because she can't handle my pre-coffee attitude. \u2615
8684187,God I wish I could sing more than anything
6786334,20 minutes of my life waitinh
4758710,"Beer, creative work, keynote deck, late night. In great company with my planner Mr. Collins @proferoNY #deckbiatching"
11086760,Might just have to go for a ride tonight
1400899,@TSNBobMcKenzie is there a deadline for Burke to land a job that would allow him to be included?
11218028,"Woah! Paul Walker passed away... That's so sad. I loved that guy. \ud83d\ude14 how're they gonna finish the movies, about to be a crazy twist \ud83d\ude1e"
5984368,Are you joking ?! Really defense ?! REALLY ?!
10965574,There will be enough cold air in place to supper mainly snow/ ice w/ storm but the storm track may favor warmer air. Still too early #wxedge
5203078,\u201c@BlaneTaylor: Less selfies\u201d more
3068589,@MrSilverScott I need advice on decorating my new room with a rustic feel centered round a red brown bedframe and for super cheap help
236720,Sonic two days in a row
1599262,It's not so much what we have in this life that matters. It's what we do with what we have #mr.rogers
9549961,@saucy_sarahb I watched the first episode alot of boobies hahaha it was pretty decent
5387812,Laying in my bed staring at the stars \u2764\ufe0f
4230247,@nonojones54 @UrFakeFriend well a nice way to get introduced to the personal acct lol. I've since changed my mind. Was high or something
5131193,Why is Heather stalking Franco though  #gh
7967848,Nap then studying \ud83d\udd2b
8527398,@PezDOY so many blackhawk fans in the garden right now. So disappointing. Lets go #bruins
5645683,"So apparently Derrick Rose's parents were glass and wet tissue paper, explaining his durability issues"
11977640,@Willdog476 hopefully we'll make good choices in the draft
10691031,5 more minutes \ud83d\udca6\ud83d\udca6\ud83d\udca6\ud83d\udca6
1722458,On the way to this casino in the nati LetsGo
8536812,Putting your ex on blast via social media is such a bad look...you should probs just be the bigger person
56786,@the818 remember his one episode of Roseanne? I do.
7912361,"\u201c@CGerber11: Texting my boyfriend without an iPhone is rough just like when he goes in my asshole dry\"""
8037828,If I could lay in bed with Max all day I would.
2501549,"@Sway_Tay coo. Cause Hailey is gonna get $20. $10 for gas, $10 for the bottle.."
3730452,It you have a red sticker on your license plate you are a fucking faggot idc
9715552,Training week is finally over and now there's nothing to do but chill by the pool
1131020,@cargaretmox haha you should have done the race pool with Brian Boyer and everyone
9046503,Lots of signs pointing to Nashville after I graduate....
6864310,Beer will get you drunk and bloated\nWine will get you drunk and you'll have the run\nTequila will get you drunk and pregnant #GirlCode
12144452,"When I look at a newborn baby the same thing comes to mind,\"" how can people believe there is no God. They r so pure and untouched by sin."
9178884,Beyond exited for tomorrow's shopping spree #dayoff #deerparkoutlets
9849677,This is why I can't have nice things
6889629,Didn't have to work Saturday after all. I'm pumped
8738685,"@PlayShaysWay 2 weeks left of August then the first 3 of September, I just texted you"
8250851,Just baked some Pillsbury chocolate chip cookies &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt; #YessLawd \ud83d\ude4c
190546,\u201c@TheyCantBarrett: @ChedStedman18 this tweet made my morning so much better. I can't find Nate jones twitter... \u201d\n\nI can't find his fastball
1636187,I never wanna see that piece of shit or hear from him ever again. Your no good for nothing. Glad you aren't in my life anymore
2336501,Always get the blame while looking out for myself #alright
6122251,Ever since I decided to join the military I've been a cold motherfucker.. downfall it makes me look weak AF
626133,tonight out with the girls again this should be fun I'm taking all types of pics tonight @_HooperSwagPink @persinger22 in dresses again :-)
11307777,@Paris_BabyyXOX perfect
8121722,Doors closed. Thanks @Jetblue for a great flight in advance. #goinghome.
12271999,Working BHSN State Football finals tomorrow!! Come see me \ud83d\ude03
4851829,The NFL is seriously a fucking joke
7128070,Sometimes revenge is a choice you've gotta make
2423730,@lexx_couture and Wilson's ghetto)??
338579,The best game of the season.. #CelticsNation !
7092366,"@DuranDuraan no. I decided to Google the \""rugrats theory\"" and I shouldn't have. I kept clicking links to other shows, I fucked up."
9061952,If Wisconsin doesn't legalize medical marijuana soon (2 years) I'm leaving to somewhere that does.
11582216,this is the worst feeling I've ever felt in my life..
2546583,I'm gonna be so miserable
921063,@BQ11 of course i do!
413080,@nikkima80 @steelrzgirl well duh!it was hard to decide what to get though I already owned the majority of the catalog
3053077,Eating at an empty Saladworks alone feels a lot more pathetic than I had anticipated
203814,@Hockeymax93 stones are getting routed.
11530100,6 hours and counting.....
11681741,This snow \ud83d\ude31\u2744\ufe0f\ud83d\ude98
1759820,Sweet the d bus is packed with frat kids
9429998,Up and ready to have a productive Saturday!
5931809,"\u201c@CloydRivers: There's a name for girls who drink beer, watch football, love country music and go huntin'. Keepers. Merica.\u201d\ud83d\ude4c"
1602563,Keg stand
7121509,When I played little league baseball a kid on my team hit a home run and shit his pants while running around the bases
12041431,"\u201c@UnrevealedFacts: Thantophobia, the fear of losing someone you love.\u201d"
5979742,@PFLNews what are the tie-breaking procedures if there is a 3-way tie for first?
6007948,It's amazing to me that not one person is exactly the same
983854,"Manziel might be known for his running, but the dude is accurate when throwing."
11724592,@CaraAllen02 that's not what happened #liarliar
4146390,Just aheads up we are tailgating in the same spot Saturday. By the Indian mounds  #happykrew
8665221,"\""So you can get on with your search baby, and I can get on with mine. And maybe someday we will find that it wasn't really wasted time.\"""
9928973,Bonfire should've lasted longer!
2071167,Cops made a big deal about us parking say Wendy's but because we saw iron man he let us go #wait #what
9533458,Finallyyy watching The Great Gatsby \ud83c\udfa5\ud83d\udcfa\ud83d\udc95
11108441,"Just because one man's straw could not puncture the juice box, does that mean the juice is no longer drinkable?"
7598357,Can't wait for my dad to get here tomorrow #yummydinner then my mommy gets here Friday #yayayay
2041810,I think the students have finally broken the wall I put up to not get sick. My immune system is losing hard core.
7336419,Lauren better text me back within the next five minutes... #tryingtoskip
9706049,@MountRuesmore when will it be time to let the truck go?...
2862558,"@FEBCrew_Marco lol my team was the best team there last time and we only had 1 sub. This time we got 3 subs, and all of us are nasty"
7554056,Instead of going to my night class I'm at the tattoo parlor \ud83d\ude01
11293452,The longest yard &lt;3
700547,#Motivated
5522316,@Kyrsten_Alice damn I would try to help but I don't have a car and don't have a license
11270876,NEWSFLASH: Be careful driving today/tonight after 5. Calling for freezing rain.
11438353,@insanely_made so fetch!!!! #lol #MeanGirls
7525095,wish I slept at a decent hour .
8801945,Hahahahaha remember when we only wrote Randy's first name on his handprint on the mural
7797365,"Maybe I'm dead, maybe I'm afraid of lovin, you could be just enough"
3273519,I better practice that Parallel parking tomorrow! \ud83d\ude01
1025316,Catching breathe in a wave of lives
9303334,with Robs offensive genius and my fat set of stones on Defense.. we will have us a nice road to glory
2761306,@EricBozek maybe it's because they sting
9299158,@BeyonBasic Triewwww! Lol. Is that move in day for us ? I can move in the 20th right ??
8027141,@VegasRebelFan so shocked but so happy for the kid.
2171244,@jacilynbailey UGH IT'S SUPPOSED TO BE SUMMER NOT WINTER
3986844,Bob Glaub. What an awful name.
9892441,@hay_girl_haayes NO! I really want to and I know you chase it with water and that actually sounds good together!
3889841,That feeling when you beat someone to an open table in a packed place &gt;&gt;&gt; priceless #shakeshack
8346615,What's worse than bad sex? HORRIBLE sex!
4974687,If Michigan win this gunna be the illest upset
5729827,Dunkin \ud83d\udc4c
6346575,@MLoosha haha now i jus feel stoopid. Sry crappy night at wrk. Im in pieces everywhere #needbeer
5523142,So weird my prettygurl has hives rn. \ud83d\ude29\ud83d\ude33\ud83d\ude1e might have to take her to the er if it's not gone in the am..
7911249,I freaaaaakin hate when people invite themselves to shiiiiiit #stop #nooneinvitedyou
5073233,"I want my dad to get out of work early, excuse me from school, &amp; go get chipotle and watch Catching Fire\ud83d\udc4c"
6765649,#100ThingsThatMakeMeHappy when god answers my prayers
1611837,Yeah we roll into harleysville blaring DMB #antsmarching
6994438,Oh gosh the hair process ' ombr\u00e9' is beginning
9044131,And that's when the hornet stung me
6296686,"@joerogan @ActuallyNPH is gay, plays a straight guy on #HIMYM and I never question his character on the show, he's completely believable!"
9511535,it's so weird seeing 14 year old walking around like there 20. Stop.\ud83d\ude4a
1926135,"@amanda_a1410 u should haha Ill have twitter open for ten minutes on my comp and when I check again, there will be 1000 new tweets"
11552704,"Oh yes, the lights weren't off &amp; doors closed for a reason. It's not like I was trying to sleep or anything &gt;[ #housingproblems"
4676105,@rhianonsuee I seriously have the BEST family!!
10764647,This Michigan game ... \ud83d\ude35\ud83c\udfc8
3977781,Interference thank you
3776755,@winterjacksom @ivyweidnerrrr holy god I look like the biggest douche right here #somuchprettiernow
5325980,Glad to see my boy Peyton and the broncos get the win tonight #vfl
12412345,would totally rather sleep than be working right now
2312101,Also have a stupid work meeting to meet with a union rep in 8 hours so I should probably get to bed. #zzzzz
12389877,Could not have been a better day... Spent time with some of my favorite girls and caught up with an old friend in town #mykindamonday
10382869,@janeislove I stayed up last week for the premiere but I can't do that every week :-(
5714727,"When I get of bored of studying I literally just take panoramas for 20 minutes straight, oh well"
9404687,\u201c@Thegooglefactz: Couples that don\u2019t have a TV in their bedroom have 50% more sex.\u201dgettin rid of my tv\ud83d\ude1c
10618880,@fragilitize ill have to look it up sometime when I'm in the movie watching mood then!
2006592,Miss the days I didn't have to shave my face every day...
7954456,Put the #snapshot in the car today. Gonna save some $$. Thanks @flo and @progressive.
5290307,"I'm friends with the monster that's  under my bed, get along with the voices inside of my head.  #Eminem lol my monsters aka mice."
909150,"The store Papaya's slogan is \""find the flower in you\"". I wonder if their marketing coordinator knows that a papaya is a fruit not a plant..."
12289494,Blessed night to all friends.May we rest under Marys Mantel of grace.We are loved in roses of prayer of ;Hail Mary.
9665727,@ianh42 that's why you're my favorite person Ian!
2268736,Watching A clockwork Orange. This is a strange movie.
3969209,Sammy Watkins is the best WR in the country. Period.
12191281,Going to school four days of December constitutes itself as trying
6347685,"At the boys place of work, he's soo sexy on the job;)"
1641023,Knowing you mean something to someone #bestfeeling
291860,I need medicine for my flu but can't get out of bed who wants to bring me some!
8839638,Nothing but a goodbye townnnnnnn #stuckinmyhead #fordayzz
10231774,Never knew so many little things could bring 2 people so close! I love my @HunterChase20!! More than you can imagine sweetgirl! #blessed \ud83d\udc8b\ud83d\udc95\ud83d\udc81
10407524,@FitnessPsych @30secToVictory  very empowering- We are so proud to be ACE Professionals!
6658119,I tweet &amp; use instagram way to much .. #itsaproblem
7605911,So this is the point of no return eh?
6561776,What if I wore a checkered hat and smoked a pipe? Ya know for the Sherlock Holmes look? #alwayssunny
4472334,I love jordy almost more then trehhh (tree)
5840205,"White girls be like: \""Everybody knows that I love Starbucks and my favorite outfit is yoga with some uggs\"" #WhiteGirlWednesday"
8822814,Not impressed watching Taken 2 because Walter White is 10X more of a badass than Liam Nelson is. #treadlightly
4423918,"It's dry out at @UrbanHarvest! Come get a bite of the Fall Harvest Salad, Spicy Peanut Noodles, Bistro Burger and Enchiladas until 3 today!"
2490769,Looking at my phone from last night is humorous
10838081,I have about seven essays to write between now and Friday at midnight...
7008632,Country music on the way to work
3432177,"Literally taking shots with the manager. All he said was \""make sure you're not on camera.\"""
220955,Gonna miss you in Oregon Chip Kelly! #NFL
11833602,Anddddd I just ate a meatball
10205953,@HaloFanForLife You're welcome. I'll play a couple of games with you. It will be a long night. (:
11804177,@SeinfeldTV When people double dip the chip #SeinfeldFestivus #grievance
8085731,@Blacboy85 The guy with no arms becomes innovative maybe by dry humping in between the couch coushins with some silk. #innovate my brother!
6336871,Basically all I need tonight is popcorn and my movies!!
11303271,So many random people.. I like it. #OklahomaFolllowTrain
398666,@drdallasthunder lol. Thanks bud
