,tweet,class,predLabel
114,@WolfBrandonKTA I get it nigga.. Chill out before I call Osama bid Ladin nigga is my uncle lol.. N no he ain't died,0,0
115,@BigMattLGI yall bout to let Josh Freeman do work on yall,0,2
116,@CallmeJahmell lmao who you talking bout willis,0,2
117,Bout to sleep til Sunday morning #tiredd,0,2
118,"ialways see @goodvibes__x3 tweeting all this stuff on twitter, lol..",0,2
119,#oomf erky af on my tl . \ud83d\ude12,0,2
120,Dat Will Nevea Change On Life I Ain't Lien.,0,2
121,Lessie fake,0,2
122,@freshlylandrey riding down i20,0,2
123,@DaniSaysAlot yea he is,0,2
124,Polo horses on me nigga one man das all i trust,0,0
125,Damn @ChiefKeef Put The Codeine In The Ciroc \ud83d\ude10,0,1
126,I DO NOT fw that fake shit! I'll run in a nigga mouth QUICK! Super hot right now,0,1
127,@TrynaGetMine fareal I got sick this morning and everything\ud83d\ude12\ud83d\ude14,0,2
128,Ain't me.,0,2
129,S/o.to my lil bro sillyy ass nicca tho lol @pyrexbuttas,0,1
130,@loveme_senior13 lol Ikr just let me know when,0,2
131,@HayyJoyy nuthin homie g,0,2
132,@Youngthug412 lol im saying it talkin like chief keef,0,2
133,"Bad bitches, come with worse problems. Loyal females come with trust issues.",0,1
134,@BeezyTaughtMe33 Go see plies with me tomorrow!!!!,0,2
135,We just got free chicken,0,2
136,man...this chick here...,0,2
137,@beckyenclona dude I back u up at skool,0,2
138,@TheCondommKing lol get some shit from long love ASAP.,0,1
139,Took a nap that was A1,0,2
140,Yo is mad af!!!,0,2
141,He gone regret the day he lelf me..\ue402\ue402,0,2
142,Coolin,0,2
143,@ian_moorhead mmhmm \ud83d\ude0c,0,2
144,Onyx is not living upnto the hype right now smh,0,2
145,Turn on this meek mill flow,0,2
146,My real niggas know I'm down for whatever!!,0,0
147,They always come back to daddy,0,2
148,My lip gloss is poppin,0,2
149,She like dat COCAEENA,0,2
150,@_ChrisBrownWife Ain't nobody scared of you lol,0,2
151,Feel bad for all yu MF's still in school. It's been summer for real n*gga ..I've been in Europe. Places y'all only dream. Ha night haters. \u270c,0,2
152,@notjessiknox clap clap clap slap slap slap,0,2
153,These hoes so thirsty...ain't shit up but my dick and my blood pressure,0,1
154,@ChaloStaySkinny Wat shop u going to,0,2
155,Hungry as a mf so about to cook,0,2
156,I'm looking for the receipts &amp; usher ain't adding up. I look for details. This Chile lied to y'all,0,2
157,@MyOtherBrother6 ik u seen me tweet u yday nigga!!!,0,0
158,"\""@EnnooTribee_: A$ap ENNO in this bitch\"". LMMFAO",0,1
159,Speak up,0,2
160,"He all like dumb ass bitches\"" lol",0,1
161,@JERANTISA ain't got time for that man these schedule is crazy,0,2
162,"If yo coochie ain't hittin on shit, you ain't gotta worry about a text from me ever again llf \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d\ud83d\ude2d",0,2
163,Turn up.!,0,2
164,"\u201c@ill_wil22: @BootMaGoot right, wtf has he done to make sum1 wanna vote for him anyway.  He dog shit out there\u201d #\ud83d\udc00\ud83d\udca9 more like rat shit",0,1
165,Damn right I got it.,0,1
166,@MzTaylor_INK I hope you ain't talking about me cause I'm up going to school . But y'all go keep talking on twitter never @'ing me,0,2
167,"I ain't shit, I swear lol",0,1
168,#OKC,0,2
169,Cuzzo what's good @bruce_wayne89 how you been?,0,2
170,Den get n my zone,0,2
171,Rain all day I can't get jiggy with this shit ..,0,1
172,Who wanna come to GE &amp;&amp; work fa me (:,0,2
173,\ud83d\ude11okay im ready to leave.,0,2
174,im not chargin my phone til tmrw.. idgaf,0,2
175,@seaofthedead lol the thirst is real,0,2
176,I Learn A lot From Da Streets,0,2
177,Boredd ass hell ://,0,1
178,"Got her screaming moaning hittin it from the back, got her home girls like \""girl he did that!\""",0,2
179,U funny man @WheresMy_SPLIFF,0,2
180,Im hungry,0,2
181,I ain't been on this hoe strong Im a while...,0,1
182,"Stayin home tomorrow, he'll yea baby fuck school",0,1
183,@dani_nicole_17 damn straight,0,1
184,Nigga tlkn big head... For such lil game',0,0
185,#ThoughtsDuringSex damn should I offer her some orange juice lol,0,1
186,"\""@JustDevon_: Cold asf outside\""",0,2
187,\u201c@DaeDae8808: @blonde_mason wya now freak\u201dbout to go home,0,2
188,@mariahroolz damn hmu with a dm \ud83d\ude09,0,1
189,I still gotta make scasha hers.,0,2
190,Bae \ud83d\ude0d,0,2
191,@TooSwoleAnthony smh,0,2
192,I'm finna chilllll,0,2
193,Yooooooouuuung nigga,0,0
194,@iceeyjays where do u live?,0,2
195,"Back rub from my main thang I been stressed out. Talkin to her like back then they didn't want me, I'm blessed now.",0,2
196,GoodMorning Twitter Folk....,0,2
197,Bc ima hit him nd run \ud83d\ude02\ud83d\ude02,0,2
198,Bitches be mad cs IDGAF about their lies,0,1
199,My second family is Brittany Sidney Red n Kt lol been with these mfs for too long. \ud83d\ude18,0,2
200,We Winnin. @1future that's yo best song bra,0,2
201,I'm finna be famous bitch.,0,1
202,@HannahMeacham1 I ain't,0,2
203,keep them dollaaas coming and thats gonn make me dance\ud83d\ude1c,0,2
204,Nigga phone stay fucking dead that shit pmo,0,1
205,@HeatherrGarcia_ this bitch is lieing tho . Saying she was with him wen he lives with me !! He dont have time to cheat lol .,0,1
206,Valentina has a stank attitude,0,2
207,Lil scrappy did let shay no what's up . I fucks with Erica though .,0,1
208,"# RIP SHOWTYME , it ain the same nomore we miss and love you bby @Mr_Fly_FlAshY #dailytweet",0,2
209,@missnidda IM baccckkkkkkk,0,2
210,@kHy_nd_sKii_mOm she was ready to tell Tara that shyt lol,0,2
211,My mama really get on my fuckin nerves!,0,1
212,"Got damn, that's an ugly ass bitch.",0,1
213,If You Dont Fight For Wht You Wnt Dont Cry For Wht You Lost,0,2
214,Bitch,0,1
215,\u201c@JbCashing_: fufu ass niggas\u201d,0,0
216,What it be bitch mob task force lil b,0,1
217,Tuscaloosa here we come,0,2
218,"@ILOVE_MATTHEW laying down , tried .!! Wbuu",0,2
219,Bout to get some el rancho!!! Fuck yeah!!!,0,1
220,3rd block again &amp; i'm sleepy af \ue40e\ue13c\ue421,0,2
221,@machinegunkelly ur bae &gt;&gt;,0,2
222,@gennyyyy_ what are u talkin bout..\ud83d\ude15,0,2
223,oomf \ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude0d\ud83d\ude4a,0,2
224,Gettin tired as hellllll,0,2
225,Her big brother mad cause he know she got hit by the homies \ud83d\ude02,0,2
226,These chumps ain't even got chump change,0,2
227,Aye man it's bday weekend homecoming game weekend and homecoming dance week end lol turn up man turn up,0,2
228,Soft af right now,0,2
229,We ain't got no worries,0,2
230,i wanna move outta roxboro.,0,2
231,@SashaLyapman ok shawty remind me in the morning,0,2
232,me &amp; oomf gotta get back to how we was \ud83d\ude14,0,2
233,I don't want to see no Mexican shit on my TL smh,0,0
234,@12inchesbelo 's Avi &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,0,2
235,"Me ! \""@brandihopson21: But , who gone beat my assss ?\""",0,2
236,@Cacia_Murdersz yeaa i did lol,0,2
237,Currently Vibing,0,2
238,Let me do these initials.,0,2
239,Team work make the dream work all my niggas den seen work...,0,0
240,@Mzqueenshanell @_aliboo yes slow ass girl,0,1
241,@NoComparison_x3 yep. I kno why \ud83d\ude12,0,2
242,\u201c@blvckm1go: Lightskin the rightskin.\u201d \ud83d\ude02 Tell Em.,0,2
243,Lmao Willneija Tweetin Off My Page !!!,0,2
244,Woke up dis morning an I thought to myself dese Pussy niggas don't want it,0,1
245,Bet if the Knicks was winnin my TL would be flooded now y'all niggas wanna talk about the waether n shit,0,1
246,@JesusInBlack lol iight bet watch yo bck,0,2
247,I had my Popeyes fill bruh off tha chain @KeyonKeepItG,0,2
248,I ain't got no fuckin feelings,0,1
249,Bored,0,2
250,Tired man,0,2
251,So u were tweetin bout me?,0,2
252,Lies ... Liessss \ud83d\udeab ion wanna hear it.,0,2
253,It's sad that all these young ppl in Cleveland keep die'n .,0,2
254,I be bored quick,0,2
255,Shayla is a big hoe,0,1
256,So when did bein ratchet make any female more attractive!? #QTNA \ud83d\udc4e\ud83d\ude33\ud83d\udca3\ud83d\udd2b,0,2
257,@CarliciousTie lmaooo np keep doin what ur doin \ud83d\udc4d,0,2
258,#BullsNation \u2764,0,2
259,Who Tashyla Talking Bout ? \ud83d\ude02\ud83d\ude4a,0,2
260,\u201c@liitooo_: Eatin ass ain't a crime either. I'm jus sayin\u201d \ud83d\ude34,0,0
261,@_Lyri_ Bet. Ima DM my #,0,2
262,Feel lgke shif,0,2
263,Thinking about rolling up,0,2
264,Make yo body jerk.,0,2
265,Nvm Asia not lying I believe her.,0,2
266,"\u201c@Kb__x0: Yall get together, give yall crew a name, and now yall wanna be designers? Lmao OH.\u201d \ud83d\ude02\ud83d\ude02\ud83d\ude02 #NL",0,2
267,@BenRedden hey u goin any where for breakfast tomorrow?,0,2
268,"Nigga said \""on a scale 1-pretzel how salty are you\"" lmao bars!",0,0
269,@PrincessJennyxo lol foreal,0,2
270,Loyalty is everything.,0,2
271,weak at lexis,0,2
272,@XxoMomo -___- where u at?,0,2
273,Niggas acting like hoes you boys some bitches!,0,1
274,Ain't nothing wrong with a righteous man,0,2
275,@thomascline101 @valbabesss @LovelyyMo yur dam right lol,0,2
276,I got cash !!,0,2
277,But my old bitch still got it,0,1
278,@RayNavy_ yea sometimes lol,0,2
279,@ActionMJackson Harold's,0,2
280,Zowee get on my fuckin nerves,0,1
281,Got my stomach flippin.....,0,2
282,I pray I don't get locked upp mannnnn!!,0,2
283,@__Trendsetta lol I wouldn't tweet that lil nasty ah,0,2
284,@CSausaman what up pussss. get off my couch. lol \ud83c\udf7b\ud83c\udf7a,0,2
285,"Nobody is textin me back -,-",0,2
286,"Tf You Lien For , ?",0,2
287,iman was just fouled on the layup but thay called that bs foul on the other end...these refs are awful!!!,0,2
288,@iThatPrettyMFer where y'all hoop at? You know a spot?,0,2
289,Wats good muthafuckas,0,2
290,@GETMONEYFRANK Lol Oh lawd I hope she ready for it,0,2
291,Watching Barbershop 2: Back in Business,0,2
292,@KierraaaRose where tf have you been.\nCalled yo momma lookin for your ass.. She don't even know lmao.\n\nMissin da sis,0,1
293,Gonna b a long ass night #WorkFlow,0,1
294,@JstGotMyGroov @Shootit23 exactly what we gone do and ain't nobody hating on y'all,0,2
295,@_varitooo @Odalis_Bitchh yea !,0,2
296,\u201c@Brian_JetLife: Kats is straight bums\u201d MANNNN you ain't never lie'n,0,2
297,We need bitches ASAP!!!!,0,1
298,@MiCousin good lookin !,0,2
299,@corradokid92 ur a chump what's my name? Skip?,0,2
300,"\u201c@GhettoLebron: I'm LeBron James from Akron, Ohio! I ain't got no worries! #GhettoLeBron\u201d this twitter sucks",0,2
301,Bitches be trippin,0,1
302,Can't trust em,0,2
303,@Atlanta_We_JuuG chilling wbu,0,2
304,@AL_Paccin0 But I Was Talkin About Yours... \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02,0,2
305,Yahhhhhh! Lil D!,0,2
306,"&amp; he ill, he real. He might gotta deal. He pop bottles &amp; he that right kinda bill. He cold, he dope. He might sell coke. \ud83c\udfb6",0,2
307,@ibarkman31 gotta get u up here man,0,2
308,These girls on #BeyondScaredScared funny af,0,2
309,@Jonathan_ToBurr aight I got a new number though,0,2
310,"@everydayz_420 \ud83d\ude02\ud83d\ude02, Youu Thinkk Soo \ud83d\ude0f",0,2
311,@britttgriffith @NoThisIsPatric dont tlk to him like tht u piece of shit. It's not our fault u make 50 grand a year,0,1
312,HOW BOUT THAT THROW!,0,2
313,"I take a niggas woman,  have her with me getting blunted, but she gotta be about business cause I hate the ones who stuntin-lil snupe",0,0
314,@Dre_Steeze crew nigga,0,0
315,I bet if he gave you a STD that shit counted.,0,1
316,\u201c@erzzielovesyou: ctfu right wen I thought we was good ...... Sumen wanna pop up...\u201d,0,2
317,Who wann tweet for me? Anybody!,0,2
318,Takinq Myy hair down,0,2
319,@TveeStun u ain't slick,0,2
320,@NCfor_3 comee,0,2
321,Ion even like him,0,2
322,Ill prolly still fucks wit it so I can come fast out da gates,0,1
323,@aubreylobban12 awww Aubrey luhh yuu \ud83d\ude0d,0,2
324,U,0,2
325,Folks talking bout the class of 2014. Lol,0,2
326,#TheSisterhood,0,2
327,Only real niggas play black ops 2.. And good at it.,0,0
328,"\""@Spaced_Dreams: \ud83d\ude48 turn up Thursday?!\""",0,2
329,Try and find another me girl good luck wit day shit #weezy,0,1
330,\u201c@VH1PNUT: NIGGAS DONT GOT NO IRON SO THEY JUST THROW THEY CLOTHES IN THE DRYER TO GET THE WRINKLES OUT\u201d exactly what I do,0,0
331,#bitchesbelike blah blah blah,0,2
332,@Lifeless_Alex u goin to school Tommorrow!?,0,2
333,GOODMORNING &amp; Thank God For Allowing Me To See Another Day,0,2
334,she said she got hair like tha girl from color purple \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 I'm dead,0,2
335,Girls only fuck with dudes they know from back home. Then gone say all niggas the same. Wtf im from milwaukee. How you know lol,0,0
336,@_PinkyPromise__ damn it!,0,1
337,Levels to this shit young boi,0,1
338,There is no social consequence to a man fckin a lot of women get over (@MalahBOOYOW) Right...who go feel awkward bout getting some pussy #so,0,1
339,@Based_shit good thinking bruh,0,2
340,Goodnight/Morning \ud83c\udf0d,0,2
341,"Nigga b like \""Bro let me borrow yo robin jeans and gammas for this video shoot tomorrow!! They ain't clean!! Oh it don't matter!!!",0,0
342,@JamieeDragon damn,0,1
343,niggas be on their period too lol,0,0
344,Yuuh can't love these hoes,0,1
345,Thanking God for another day! \ud83d\ude4f\ud83d\ude4c,0,2
346,@Ayo_Mclovin @V_IX_MCMXCIV @_simyyy @imaaani__ @elYOUcwhy dat cellulite tho,0,2
347,I woke up to jayden just talking away in his crib,0,2
348,Whatever hoe,0,1
349,@MyyyNiggaStix Kobe gone drop 100,0,2
350,"Iown feel good , &amp;&amp; today just ain't been my day .",0,2
351,@Georgeeeuuhh ima beat yo ass,0,1
352,@Qua__LSue lmao shidd crazy,0,2
353,"Gotta couples bad Hoes that I Fuck around with, but it's one bad bxtch you can't see !",0,1
354,I met ah bad bih name Nessa in tropic\n&amp;&amp; her pussy was the topic @biig_berna,0,1
355,Shoulda done this shit jr year!,0,1
356,Trippin,0,2
357,I see ya face and I kno you sad.. Smh tried to tell you,0,2
358,Cus its crazy in here crazy in here crazy in here,0,2
359,Buhh I'm still happy,0,2
360,@FuckingAffectz_ chillinnn hooping playingg 2k12 and munchinhg,0,2
361,@Jrmabin his is ite,0,2
362,She a thot too,0,2
363,Fugazeeeeeee niggas &lt;,0,0
364,@NubiannaH Oh Dang Bookie,0,2
365,My MAIN focus is to REMAIN focused \ud83d\ude4c,0,2
366,Oomf Jus made My Night ! a Nigga Goood To Go Now,0,0
367,FOH,0,2
368,@Believe_in_Bald damn they will be gone fast,0,1
369,@BPerrionna fine ass lol.,0,1
370,I wanna go to Amsterdam just to smoke in the Resturant lbs,0,2
371,"\""Twilight*Bella moves to new town*\nEdward: I &lt;3 u Bella\nJacob: lmao go sparkle u pussy shes mine\nBella: stfu vampires r sexy ur friendzoned\""",0,1
372,Need my money pronto.  Get it in the morning like Alonzo.  Green got cheese like a nacho.  Yen' got no as bitch wear a poncho.,0,1
373,Steady pattin' my weave,0,2
374,Nigga Iam lost in hooters lol,0,0
375,@aprillela Tell Em B.,0,2
376,@VA_Coolin ite,0,2
377,I swear I think this lady crazy FORREAL,0,2
378,These streets aint friendly so why put yourself in a fucked up position?,0,1
379,@xObeyNisha im listening to nobody now,0,2
380,@_Tassss_ fb,0,2
381,damn.. these thots gettin bold..,0,1
382,Bored as shit,0,1
383,I ain't doin dat math shit tonight fuck it,0,1
384,@kiDD_Sheedy Deadass bruh .. Like niggas be dumb .. That shit is a 12 Billion Dollar organization .. You think they aint bout they money ??,0,1
385,@coon_will sounds like imma be laughing my ass off,0,1
386,Bidness is Bidness,0,2
387,@aarontheguru bout it,0,2
388,@_GoHAM_ wat time,0,2
389,These Niggas Dont Know Whats real Or Loyalty Is. \ud83d\udcaf,0,0
390,Bitch u nd ur kids if u have sum can play in traffic,0,1
391,@MarieGaumont I'm not \ud83d\udca9 hush,0,2
392,So many Kobe haters and Lebron dicksuckers \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 #LakersNation all day! SHUT YO FACE!,0,2
393,; maneeee bae going to sleep i think i pissed him off let him NVM NVM !,0,2
394,CREAM get tha moneyyy,0,2
395,Lele should be picking me up tomorrow but she ain't respond :'(,0,2
396,"\u201c@amberraeoster: fuck this beat, nigga lets smoke weed\ud83d\ude1a\ud83d\udca8\ud83c\udf41\u201d\ud83d\ude2d\ud83d\ude29",0,0
397,Lean gt me moving in slow motion!,0,2
398,Wtf was miley thinking when she lit up that J on stage when she won #BestVideo,0,2
399,Umph ! Hell I got a damn test tommar ! AINT GOT TYNE FA THAT SHIT !,0,1
400,\u201c@PrettyBxtch_Tay: Why TF this Girl sitting Back here Breathing LIKE A FAT ASS PIG.....\u201d\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02,0,0
401,@adaleihnicole if ican get some mula I got you!!! \ud83d\ude01\ud83d\udc4d,0,2
402,Lol you know wassup when he got two phones,0,2
403,The main bitches who be talking bout they ain't got friends call everybody they friend,0,1
404,@skyler_gibbs spoke,0,2
405,ima still be passn out flowers to mothers all day,0,2
406,I'm ready for some football!! #GeauxSaints #WhoDat,0,2
407,S/O to ma new nigga,0,0
408,That's y I hate ordering shit ! Neva b on time \ud83d\ude1e,0,1
409,#IGottaThingFor girls that know what they doin,0,2
410,"\""@PrinceIgnorance: U wanna prove u really care about MLK day today? March to the club tonight\"" lol",0,2
411,Actin like dey want me bt dey really wanna gimme sum,0,2
412,"Motorola,\ud83d\udcf1in the kitchen whippin Sonya",0,2
413,Goodmornin \ud83d\udc4b\ud83d\udc4b,0,2
414,I'm weak lol,0,2
415,Mama Dee on some bs let yo son be happy !,0,2
416,\u201c@ratchetreynolds: #RappersThatHaveGoneMissing   Lil Kay Kay\u201d that's my main bitch!!,0,1
417,Phuck yo team where the freaks at,0,2
418,don't trust no bitch you ion pose to!,0,1
419,"If u were tripping on me, you'd be callin me up. So yea peace. Lol",0,2
420,Lol ion like him,0,2
421,@_VitaminBeeee eat shit,0,1
422,Got em goin dum on a hyphy frenzy,0,2
423,@Elnumero_tres @ChrisMacTheRula lol they gone get in free,0,2
424,I couldn't deal with a nigga that look like he on drugssss \ud83d\ude33\ud83d\ude33,0,0
425,@_Kresss too late ! \ud83d\ude0e you know it ain't none but love folk .,0,2
426,@NoMames_Jeezus nawh I moved on from my punk rock stage. Lol,0,2
427,I swear that nigga Rose was still puttin in work &amp; Idgaf if lebron from Ohio . Rose that nigga,0,0
428,Rap ain't got shit on country music,0,1
429,Sheeiii ain't worried bout nun!,0,2
430,@_preddipothead Chilling been up since 23O I was bakedd earlier hbu ?,0,2
431,@Daddy__Ari u gotta be careful bro,0,2
432,@baay_bee01 @penabema love y'all too \ud83d\ude18\u2764\ufe0f,0,2
433,@SmashOnSitee lol im getting my chain tomorrow,0,2
434,I'm just tryna get on my own,0,2
435,@SwindleGod yea I feel it gotta make that $$$,0,2
436,She was from the marvin gaye days she wanted me to dust them cobwebs off,0,2
437,@CallMe_LilTunch dats cute to dad im just ready to turn up,0,2
438,I dont see her on twitter..usually this be her home,0,2
439,Big fukn defense rite now... That's how the number 1 teAm plays,0,2
440,"LIKE \""Yo Glen u gettn soft on me?\"" Nah kha u I knoe I keep dat horse on me",0,2
441,"\""@jhusSlim1OO: Somebody DM Me, I'm Sooo Boreddd :/\""our bored asses",0,1
442,How you get mad cause im texting but u on the phone funny.,0,2
443,My mama agg\ud83d\ude02\ud83d\ude29,0,2
444,Ain't worried about nothing!,0,2
445,Then they be eating good af,0,2
446,Wat CAU lookinG.,0,2
447,\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\u201c@ImStill_Joshn: \u201c@Anotha_pair_AV: @OG_Tt let me get sum pancakes and three turkey links wit dat avi bra lol\u201d [ahhhhhhh \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02]\u201d,0,2
448,That's my Bae,0,2
449,I'm really tired of seeing these tweets about omari johnson...like just stfu thats all i see on my tl,0,0
450,Nap time tho,0,2
451,@Flann09 what's goin on there killer!?,0,2
452,@Malon_Hodges ight,0,2
453,@AaronJerksOff then I'm not cooking foh,0,2
454,; tryna wait on jazmin but im gettin sleepy .,0,2
455,She ain't my girl,0,2
456,@mad_Montana @deedowdy there y'all go stacking lol,0,2
457,@jadinkha @Ginahermz HUH MAJOR DICKSUCK,0,2
458,I'm smellin rather fruityyy,0,2
459,We gon miss yu aunt bobby,0,2
460,@Sh3P_ did yu get that new a$ap?,0,2
461,@BrianneShanks ya me to i had to change my name its Amber torkilson :-),0,2
